URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,PERSONAL PRONOUNS
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,97.0,37.0,0.44776119068834935,0.06666666663349917,35.72941176470588,31.64306881791241,26.94899223304732,35.72941176470588,3.5714285714285716,1985.0,0.0
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,91.0,41.0,0.3787878759182737,0.08328075704524873,27.842105263157894,24.95274102079395,21.11793851358074,27.842105263157894,4.428571428571429,1546.0,0.0
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,95.0,41.0,0.39705882060986164,0.07379272920575543,29.73469387755102,30.233356211393275,23.98722003557772,29.73469387755102,5.142857142857143,1803.0,0.0
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,100.0,31.0,0.5267175532311638,0.07844311372548315,26.287037037037038,25.149700598802394,20.574695054335777,26.287037037037038,4.571428571428571,1637.0,0.0
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,94.0,29.0,0.5284552802564612,0.06699346401579877,32.13978494623656,26.06222816995651,23.28080524647723,32.13978494623656,6.857142857142857,1781.0,0.0
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,76.0,28.0,0.46153845710059177,0.06801831257814367,32.63157894736842,26.572580645161292,23.681663837011882,32.63157894736842,4.142857142857143,1494.0,0.0
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,59.0,15.0,0.5945945865595327,0.06100577076586498,31.913793103448278,27.71474878444084,23.851416755155647,31.913793103448278,2.0,1197.0,0.0
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,24.0,4.0,0.7142856887755111,0.040816326471113225,94.6,30.12684989429176,49.890739957716704,94.6,0.14285714285714285,685.0,0.0
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,65.0,16.0,0.6049382641365647,0.06905370838102838,36.44,26.454445664105382,25.15777826564215,36.44,2.2857142857142856,1153.0,0.0
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,95.0,44.0,0.36690647218052896,0.0686419752747447,36.159574468085104,26.12533097969991,24.91396217911401,36.159574468085104,6.857142857142857,1971.0,0.0
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,80.0,72.0,0.05263157860110804,0.0701754385640926,29.00854700854701,25.48615203299941,21.79787961661857,29.00854700854701,6.285714285714286,2108.0,1.0
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,69.0,25.0,0.46808510140335,0.06229290917011735,31.54054054054054,30.46272493573265,24.801306190509276,31.54054054054054,3.857142857142857,1482.0,0.0
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,58.0,32.0,0.2888888856790124,0.05739795914706763,25.431578947368422,26.945364238410598,20.95077727431161,25.431578947368422,3.5714285714285716,1541.0,0.0
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,96.0,27.0,0.5609756051953203,0.07668329172276603,36.52564102564103,25.903825903825904,24.971786771786775,36.52564102564103,4.285714285714286,1572.0,0.0
51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,102.0,27.0,0.5813953443302686,0.07142857138902071,31.51086956521739,26.69886167644015,23.283892496663015,31.51086956521739,4.571428571428571,1766.0,0.0
52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,55.0,3.0,0.896551708680143,0.05375347539040456,43.47222222222222,30.862619808306707,29.733936812211574,43.47222222222222,2.7142857142857144,1059.0,0.0
53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,110.0,44.0,0.4285714257884972,0.09655172407739702,121.41666666666667,25.669183253260126,58.83433996797072,121.41666666666667,4.714285714285714,1558.0,0.0
